CÓDIGO ACCIDENTE;CÓDIGO VEHÍCULO;CÓDIGO PERSONA;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO PERSONA;GRAVEDAD;LUGAR ATENCIÓN LESIONADO;LUGAR DE DEFUNCIÓN;SITUACIÓN DE PERSONA;PAÍS DE NACIONALIDAD;OTRO PAÍS DE NACIONALIDAD;EDAD;SEXO;POSEE LICENCIA;ESTADO LICENCIA;CLASE_LICENCIA;¿SE SOMETIÓ A DOSAJE ETÍLICO CUALITATIVO?;RESULTADO DEL DOSAJE ETÍLICO CUALITATIVO;¿SE SOMETIÓ A DOSAJE ETÍLICO CUANTITATIVO?;VEHÍCULO;FECHA;AÑO;MES;DIA;HORA;CLASE DE SINIESTRO;CAUSA    ;CAUSA ESPECIFICA     
A-2021-01-39;V-2021-01-39-1;P-2021-01-39-1-2;LA LIBERTAD;VIRU;VIRU;PASAJERO;FALLECIDO;NO CORRESPONDE;EN EL LUGAR DE LOS HECHOS;IDENTIFICADO;PERÚ;NO CORRESPONDE;51;MASCULINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO;NO CORRESPONDE;NO;MOTOCICLETA;1/01/2021;2021;ENERO;VIERNES;7;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;GIRAR IMPRUDENTEMENTE
A-2021-01-39;V-2021-01-39-1;P-2021-01-39-1-1;LA LIBERTAD;VIRU;VIRU;CONDUCTOR FUGADO;NO SE CONOCE;;EN EL LUGAR DE LOS HECHOS;NO IDENTIFICADO;PERÚ;NO CORRESPONDE;34;MASCULINO;;FUGADO;FUGADO;NO;NO CORRESPONDE;NO;MOTOCICLETA;1/01/2021;2021;ENERO;VIERNES;7;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;GIRAR IMPRUDENTEMENTE
A-2021-01-67;V-2021-01-67-1;P-2021-01-67-1-1;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;CONDUCTOR;ILESO;NO CORRESPONDE;NO CORRESPONDE;IDENTIFICADO;PERÚ;NO CORRESPONDE;49;MASCULINO;NO;VIGENTE;A IIb;SI;POSITIVO;SI;MOTOCICLETA;1/01/2021;2021;ENERO;VIERNES;21;CHOQUE CON OBJETO FIJO;NO IDENTIFICA LA CAUSA;NO INDICA
A-2021-01-67;V-2021-01-67-1;P-2021-01-67-1-2;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;PASAJERO;FALLECIDO;NO CORRESPONDE;EN EL CENTRO DE SALUD;IDENTIFICADO;PERÚ;NO CORRESPONDE;34;FEMENINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO;NO CORRESPONDE;NO;MOTOCICLETA;1/01/2021;2021;ENERO;VIERNES;21;CHOQUE CON OBJETO FIJO;NO IDENTIFICA LA CAUSA;NO INDICA
A-2021-01-21;V-2021-01-21-2;P-2021-01-21-2-1;PIURA;PIURA;PIURA;CONDUCTOR;ILESO;NO CORRESPONDE;NO CORRESPONDE;IDENTIFICADO;PERÚ;NO CORRESPONDE;53;MASCULINO;SI;VIGENTE;B;SI;NEGATIVO;NO;MOTOCICLETA;2/01/2021;2021;ENERO;SÁBADO;8;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;NO ESTABLECER EL DERECHO DE PASO
A-2021-01-21;V-2021-01-21-2;P-2021-01-21-2-3;PIURA;PIURA;PIURA;PASAJERO;FALLECIDO;NO CORRESPONDE;EN EL CENTRO DE SALUD;IDENTIFICADO;PERÚ;NO CORRESPONDE;54;FEMENINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO;NO CORRESPONDE;NO;MOTOCICLETA;2/01/2021;2021;ENERO;SÁBADO;8;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;NO ESTABLECER EL DERECHO DE PASO
A-2021-01-226;V-2021-01-226-2;P-2021-01-226-2-1;PUNO;AZANGARO;AZANGARO;CONDUCTOR;FALLECIDO;NO CORRESPONDE;EN EL CENTRO DE SALUD;IDENTIFICADO;PERÚ;NO CORRESPONDE;57;MASCULINO;NO;NO CORRESPONDE;NO CORRESPONDE;NO;NO CORRESPONDE;NO;BICICLETA;2/01/2021;2021;ENERO;SÁBADO;13;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2021-01-36;V-2021-01-36-1;P-2021-01-36-1-2;ANCASH;SANTA;CHIMBOTE;PEATÓN;FALLECIDO;NO CORRESPONDE;NO INDICA;IDENTIFICADO;NO ESPECIFICA;NO ESPECIFICA;77;MASCULINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO INDICA;NO INDICA;NO INDICA;STATION WAGON;2/01/2021;2021;ENERO;SÁBADO;21;ATROPELLO;IMPRUDENCIA DEL PEATÓN;ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-44;V-2021-01-44-2;P-2021-01-44-2-1;PIURA;SULLANA;MIGUEL CHECA;CONDUCTOR;LESIONADO;NO INDICA;NO CORRESPONDE;IDENTIFICADO;NO ESPECIFICA;NO ESPECIFICA;24;MASCULINO;;VIGENTE;B;NO INDICA;NO INDICA;NO INDICA;MOTOCICLETA;2/01/2021;2021;ENERO;SÁBADO;22;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;ADELANTAR INDEBIDAMENTE
A-2021-01-44;V-2021-01-44-1;P-2021-01-44-1-1;PIURA;SULLANA;MIGUEL CHECA;CONDUCTOR;FALLECIDO;NO CORRESPONDE;EN EL LUGAR DE LOS HECHOS;IDENTIFICADO;PERÚ;NO CORRESPONDE;20;MASCULINO;NO;VIGENTE;B;SI;POSITIVO;NO INDICA;MOTOCICLETA;2/01/2021;2021;ENERO;SÁBADO;22;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;ADELANTAR INDEBIDAMENTE
A-2021-01-44;V-2021-01-44-1;P-2021-01-44-1-2;PIURA;SULLANA;MIGUEL CHECA;PASAJERO;LESIONADO;NO INDICA;NO CORRESPONDE;IDENTIFICADO;NO ESPECIFICA;NO ESPECIFICA;22;MASCULINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO INDICA;NO INDICA;NO INDICA;MOTOCICLETA;2/01/2021;2021;ENERO;SÁBADO;22;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;ADELANTAR INDEBIDAMENTE
A-2021-01-44;V-2021-01-44-2;P-2021-01-44-2-2;PIURA;SULLANA;MIGUEL CHECA;PASAJERO;LESIONADO;NO INDICA;NO CORRESPONDE;IDENTIFICADO;NO ESPECIFICA;NO ESPECIFICA;33;MASCULINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO INDICA;NO INDICA;NO INDICA;MOTOCICLETA;2/01/2021;2021;ENERO;SÁBADO;22;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;ADELANTAR INDEBIDAMENTE
A-2021-01-258;V-2021-01-258-1;P-2021-01-258-1-2;LIMA;LIMA;VILLA EL SALVADOR;PEATÓN;FALLECIDO;NO CORRESPONDE;EN EL LUGAR DE LOS HECHOS;NO IDENTIFICADO;PERÚ;NO CORRESPONDE;N/I;MASCULINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO INDICA;NO INDICA;NO INDICA;VEHÍCULO NO IDENTIFICADO;3/01/2021;2021;ENERO;DOMINGO;0;ATROPELLO FUGA;NO IDENTIFICA LA CAUSA;NO INDICA
A-2021-01-40;V-2021-01-40-2;P-2021-01-40-2-1;LA LIBERTAD;ASCOPE;CHICAMA;CONDUCTOR;FALLECIDO;NO CORRESPONDE;CAMINO AL CENTRO DE SALUD;IDENTIFICADO;PERÚ;NO CORRESPONDE;55;MASCULINO;NO;SIN LICENCIA;SIN LICENCIA;NO;NO CORRESPONDE;NO;TRIMOTO PASAJERO;3/01/2021;2021;ENERO;DOMINGO;9;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;GIRAR IMPRUDENTEMENTE
A-2021-01-40;V-2021-01-40-2;P-2021-01-40-2-2;LA LIBERTAD;ASCOPE;CHICAMA;PASAJERO;LESIONADO;CENTRO DE SALUD PÚBLICO;NO CORRESPONDE;IDENTIFICADO;PERÚ;NO CORRESPONDE;63;FEMENINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO;NO CORRESPONDE;NO;TRIMOTO PASAJERO;3/01/2021;2021;ENERO;DOMINGO;9;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;GIRAR IMPRUDENTEMENTE
A-2021-01-41;V-2021-01-41-1;P-2021-01-41-1-2;LA LIBERTAD;VIRU;VIRU;PEATÓN;LESIONADO;CENTRO DE SALUD PÚBLICO;NO CORRESPONDE;IDENTIFICADO;PERÚ;NO CORRESPONDE;33;FEMENINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO;NO CORRESPONDE;NO;CAMIONETA PICK UP;3/01/2021;2021;ENERO;DOMINGO;21;ATROPELLO;NO IDENTIFICA LA CAUSA;NO INDICA
A-2021-01-41;V-2021-01-41-1;P-2021-01-41-1-3;LA LIBERTAD;VIRU;VIRU;PEATÓN;FALLECIDO;NO CORRESPONDE;EN EL LUGAR DE LOS HECHOS;IDENTIFICADO;PERÚ;NO CORRESPONDE;51;MASCULINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO;NO CORRESPONDE;NO;CAMIONETA PICK UP;3/01/2021;2021;ENERO;DOMINGO;21;ATROPELLO;NO IDENTIFICA LA CAUSA;NO INDICA
A-2021-01-64;V-2021-01-64-1;P-2021-01-64-1-2;JUNIN;SATIPO;MAZAMARI;PEATÓN;FALLECIDO;NO CORRESPONDE;EN EL LUGAR DE LOS HECHOS;IDENTIFICADO;PERÚ;NO CORRESPONDE;26;MASCULINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;SI;NEGATIVO;NO;ÓMNIBUS;3/01/2021;2021;ENERO;DOMINGO;20;ATROPELLO;NO IDENTIFICA LA CAUSA;NO INDICA
A-2021-01-260;V-2021-01-260-1;P-2021-01-260-1-1;LIMA;LIMA;ATE;CONDUCTOR;ILESO;NO CORRESPONDE;NO CORRESPONDE;IDENTIFICADO;PERÚ;NO CORRESPONDE;23;MASCULINO;SI;VIGENTE;B IIc;NO;NO CORRESPONDE;NO;MOTOCICLETA;4/01/2021;2021;ENERO;LUNES;1;ATROPELLO;IMPRUDENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2021-01-260;V-2021-01-260-1;P-2021-01-260-1-2;LIMA;LIMA;ATE;PEATÓN;FALLECIDO;NO CORRESPONDE;EN EL LUGAR DE LOS HECHOS;IDENTIFICADO;PERÚ;NO CORRESPONDE;29;MASCULINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO;NO CORRESPONDE;NO;MOTOCICLETA;4/01/2021;2021;ENERO;LUNES;1;ATROPELLO;IMPRUDENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2021-01-27;V-2021-01-27-1;P-2021-01-27-1-2;PIURA;HUANCABAMBA;SONDORILLO;PEATÓN;FALLECIDO;NO CORRESPONDE;EN EL LUGAR DE LOS HECHOS;IDENTIFICADO;PERÚ;NO CORRESPONDE;26;MASCULINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO;NO CORRESPONDE;NO;CAMIONETA RURAL;4/01/2021;2021;ENERO;LUNES;4;ATROPELLO FUGA;IMPRUDENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2021-01-332;V-2021-01-332-2;P-2021-01-332-2-1;AREQUIPA;CAMANA;MARIANO NICOLAS VALCARCEL;CONDUCTOR;FALLECIDO;NO CORRESPONDE;EN EL LUGAR DE LOS HECHOS;IDENTIFICADO;PERÚ;NO CORRESPONDE;67;MASCULINO;NO;NO CORRESPONDE;NO CORRESPONDE;NO;NO CORRESPONDE;NO;BICICLETA;4/01/2021;2021;ENERO;LUNES;21;CHOQUE;NO IDENTIFICA LA CAUSA;NO INDICA
A-2021-01-332;V-2021-01-332-1;P-2021-01-332-1-1;AREQUIPA;CAMANA;MARIANO NICOLAS VALCARCEL;CONDUCTOR;LESIONADO;CENTRO DE SALUD PÚBLICO;NO CORRESPONDE;IDENTIFICADO;PERÚ;NO CORRESPONDE;44;MASCULINO;SI;SIN LICENCIA;SIN LICENCIA;SI;POSITIVO;SI;TRIMOTO PASAJERO;4/01/2021;2021;ENERO;LUNES;21;CHOQUE;NO IDENTIFICA LA CAUSA;NO INDICA
A-2021-01-37;V-2021-01-37-2;P-2021-01-37-2-2;ANCASH;CASMA;CASMA;PASAJERO;FALLECIDO;NO CORRESPONDE;NO INDICA;IDENTIFICADO;NO ESPECIFICA;NO ESPECIFICA;37;FEMENINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO INDICA;NO INDICA;NO INDICA;TRIMOTO PASAJERO;4/01/2021;2021;ENERO;LUNES;7;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;GIRAR IMPRUDENTEMENTE
A-2021-01-37;V-2021-01-37-2;P-2021-01-37-2-1;ANCASH;CASMA;CASMA;CONDUCTOR;ILESO;NO CORRESPONDE;NO CORRESPONDE;IDENTIFICADO;NO ESPECIFICA;NO ESPECIFICA;18;MASCULINO;;SIN LICENCIA;SIN LICENCIA;NO INDICA;NO INDICA;NO INDICA;TRIMOTO PASAJERO;4/01/2021;2021;ENERO;LUNES;7;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;GIRAR IMPRUDENTEMENTE
A-2021-01-37;V-2021-01-37-2;P-2021-01-37-2-3;ANCASH;CASMA;CASMA;PASAJERO;LESIONADO;NO INDICA;NO CORRESPONDE;IDENTIFICADO;NO ESPECIFICA;NO ESPECIFICA;61;MASCULINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO INDICA;NO INDICA;NO INDICA;TRIMOTO PASAJERO;4/01/2021;2021;ENERO;LUNES;7;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;GIRAR IMPRUDENTEMENTE
A-2021-01-42;V-2021-01-42-2;P-2021-01-42-2-2;LA LIBERTAD;PACASMAYO;PACASMAYO;PASAJERO;LESIONADO;CENTRO DE SALUD PÚBLICO;NO CORRESPONDE;IDENTIFICADO;PERÚ;NO CORRESPONDE;27;FEMENINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO;NO CORRESPONDE;NO;MOTOCICLETA;4/01/2021;2021;ENERO;LUNES;20;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;ADELANTAR INDEBIDAMENTE
A-2021-01-42;V-2021-01-42-2;P-2021-01-42-2-1;LA LIBERTAD;PACASMAYO;PACASMAYO;CONDUCTOR;FALLECIDO;NO CORRESPONDE;EN EL LUGAR DE LOS HECHOS;IDENTIFICADO;PERÚ;NO CORRESPONDE;26;MASCULINO;NO;SIN LICENCIA;SIN LICENCIA;NO;NO CORRESPONDE;NO;MOTOCICLETA;4/01/2021;2021;ENERO;LUNES;20;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;ADELANTAR INDEBIDAMENTE
A-2021-01-56;V-2021-01-56-2;P-2021-01-56-2-1;PUNO;CHUCUITO;KELLUYO;CONDUCTOR;LESIONADO;CENTRO DE SALUD PÚBLICO;NO CORRESPONDE;IDENTIFICADO;PERÚ;NO CORRESPONDE;57;MASCULINO;NO;NO CORRESPONDE;NO CORRESPONDE;NO;NO CORRESPONDE;SI;BICICLETA;4/01/2021;2021;ENERO;LUNES;20;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-56;V-2021-01-56-2;P-2021-01-56-2-2;PUNO;CHUCUITO;KELLUYO;PASAJERO;FALLECIDO;NO CORRESPONDE;EN EL CENTRO DE SALUD;IDENTIFICADO;PERÚ;NO CORRESPONDE;63;FEMENINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO;NO CORRESPONDE;SI;BICICLETA;4/01/2021;2021;ENERO;LUNES;20;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-25;V-2021-01-25-1;P-2021-01-25-1-1;LIMA;BARRANCA;SUPE;PEATÓN;FALLECIDO;NO CORRESPONDE;EN EL LUGAR DE LOS HECHOS;IDENTIFICADO;PERÚ;NO CORRESPONDE;28;MASCULINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO;NO CORRESPONDE;NO;VEHÍCULO NO IDENTIFICADO;5/01/2021;2021;ENERO;MARTES;23;ATROPELLO FUGA;NO IDENTIFICA LA CAUSA;NO INDICA
A-2021-01-29;V-2021-01-29-1;P-2021-01-29-1-2;APURIMAC;AYMARAES;COTARUSE;PEATÓN;FALLECIDO;NO CORRESPONDE;NO INDICA;IDENTIFICADO;NO ESPECIFICA;NO ESPECIFICA;6;FEMENINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO INDICA;NO INDICA;NO INDICA;REMOLCADOR;5/01/2021;2021;ENERO;MARTES;17;ATROPELLO;IMPRUDENCIA DEL PEATÓN;OTRO (IMPRUDENCIA DEL PEATÓN)
A-2021-01-262;V-2021-01-262-2;P-2021-01-262-2-1;LIMA;LIMA;CHORRILLOS;CONDUCTOR;FALLECIDO;NO CORRESPONDE;EN EL LUGAR DE LOS HECHOS;IDENTIFICADO;PERÚ;NO CORRESPONDE;31;FEMENINO;NO;SIN LICENCIA;SIN LICENCIA;SI;POSITIVO;SI;MOTOCICLETA;6/01/2021;2021;ENERO;MIÉRCOLES;20;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-58;V-2021-01-58-1;P-2021-01-58-1-2;JUNIN;HUANCAYO;CULLHUAS;PEATÓN;FALLECIDO;NO CORRESPONDE;EN EL LUGAR DE LOS HECHOS;IDENTIFICADO;PERÚ;NO CORRESPONDE;42;FEMENINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO;NO CORRESPONDE;NO;VEHÍCULO NO IDENTIFICADO;6/01/2021;2021;ENERO;MIÉRCOLES;7;ATROPELLO FUGA;NO INDICA;NO INDICA
A-2021-01-187;V-2021-01-187-1;P-2021-01-187-1-1;CUSCO;LA CONVENCION;QUELLOUNO;CONDUCTOR;FALLECIDO;NO CORRESPONDE;CAMINO AL CENTRO DE SALUD;IDENTIFICADO;PERÚ;NO CORRESPONDE;48;MASCULINO;SI;VIGENTE;B IIc;NO;NO CORRESPONDE;NO;MOTOCICLETA;7/01/2021;2021;ENERO;JUEVES;12;DESPISTE;NO IDENTIFICA LA CAUSA;NO INDICA
A-2021-01-43;V-2021-01-43-1;P-2021-01-43-1-2;ANCASH;SANTA;SANTA;PEATÓN;FALLECIDO;NO CORRESPONDE;NO INDICA;IDENTIFICADO;NO ESPECIFICA;NO ESPECIFICA;58;MASCULINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO INDICA;NO INDICA;NO INDICA;AUTOMÓVIL;7/01/2021;2021;ENERO;JUEVES;19;ATROPELLO;IMPRUDENCIA DEL PEATÓN;CRUCE INDEBIDO POR LA CALZADA
A-2021-01-153;V-2021-01-153-2;P-2021-01-153-2-2;PUNO;SAN ROMAN;JULIACA;PASAJERO;FALLECIDO;NO CORRESPONDE;EN EL CENTRO DE SALUD;IDENTIFICADO;PERÚ;NO CORRESPONDE;44;FEMENINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO;NO CORRESPONDE;NO;MOTOCICLETA;8/01/2021;2021;ENERO;VIERNES;20;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-153;V-2021-01-153-2;P-2021-01-153-2-1;PUNO;SAN ROMAN;JULIACA;CONDUCTOR;NO SE CONOCE;;;IDENTIFICADO;PERÚ;NO CORRESPONDE;40;MASCULINO;NO;SIN LICENCIA;SIN LICENCIA;SI;POSITIVO;SI;MOTOCICLETA;8/01/2021;2021;ENERO;VIERNES;20;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-35;V-2021-01-35-1;P-2021-01-35-1-1;ICA;ICA;PUEBLO NUEVO;CONDUCTOR;FALLECIDO;NO CORRESPONDE;EN EL LUGAR DE LOS HECHOS;IDENTIFICADO;PERÚ;NO CORRESPONDE;65;MASCULINO;SI;VIGENTE;B IIb;NO;NO CORRESPONDE;NO;MOTOCICLETA;8/01/2021;2021;ENERO;VIERNES;5;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD
A-2021-01-188;V-2021-01-188-2;P-2021-01-188-2-2;CUSCO;CHUMBIVILCAS;COLQUEMARCA;PASAJERO;FALLECIDO;NO CORRESPONDE;EN EL CENTRO DE SALUD;IDENTIFICADO;PERÚ;NO CORRESPONDE;13;MASCULINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO;NO CORRESPONDE;NO;MOTOCICLETA;9/01/2021;2021;ENERO;SÁBADO;8;CHOQUE;NO IDENTIFICA LA CAUSA;NO INDICA
